epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,281.585,0.36699,0.86374,0.43665,0.86859,0,0.96742,0.91905,0.9378,0.91977,0.96742,0.91905,0.92986,0.91496,0.25867,0.71227,0.33092,0.77656,0,0.00104703,0.00104703,0.00104703
29,290.338,0.34963,0.74399,0.44348,0.86379,0,0.97304,0.92897,0.92063,0.91435,0.97304,0.92897,0.92063,0.90786,0.23415,0.62856,0.32935,0.77579,0,0.00103288,0.00103288,0.00103288
30,302.325,0.34409,0.65033,0.41524,0.8572,0,0.96042,0.93016,0.92327,0.91255,0.96042,0.93016,0.92327,0.90857,0.25241,0.66466,0.29459,0.78456,0,0.00101873,0.00101873,0.00101873
31,306.82,0.37095,0.72503,0.433,0.8702,0,0.95955,0.93016,0.92122,0.9104,0.95955,0.93016,0.92122,0.91102,0.27148,0.76447,0.30202,0.80632,0,0.00100459,0.00100459,0.00100459
32,320.757,0.36453,0.76107,0.41232,0.87096,0,0.94884,0.93016,0.92581,0.91346,0.94884,0.93016,0.92581,0.90817,0.26733,0.70271,0.32513,0.79078,0,0.00099044,0.00099044,0.00099044
33,327.738,0.34969,0.88764,0.40076,0.87575,0,0.96077,0.93016,0.92104,0.91621,0.96077,0.93016,0.92104,0.91012,0.23852,0.77855,0.29944,0.77916,0,0.000976293,0.000976293,0.000976293
34,343.711,0.3432,0.71271,0.40539,0.85499,0,0.97301,0.92878,0.92283,0.91589,0.97301,0.92878,0.92283,0.90947,0.2338,0.63538,0.30982,0.77516,0,0.000962146,0.000962146,0.000962146
35,350.967,0.3417,0.80106,0.40048,0.86392,0,0.9704,0.91905,0.92247,0.91302,0.9704,0.91905,0.92247,0.90487,0.26384,0.75853,0.29027,0.78583,0,0.000947999,0.000947999,0.000947999
36,364.81,0.34398,0.71903,0.40326,0.86997,0,0.94967,0.93016,0.92918,0.92388,0.94967,0.93016,0.92831,0.91121,0.24931,0.75449,0.30432,0.77843,0,0.000933851,0.000933851,0.000933851
37,375.4,0.33497,0.67989,0.37905,0.85506,0,0.96166,0.91879,0.92956,0.91699,0.96166,0.91879,0.92544,0.90691,0.22313,0.63223,0.28938,0.77838,0,0.000919704,0.000919704,0.000919704
38,385.518,0.32919,0.70401,0.39027,0.86062,0,0.97037,0.92004,0.92428,0.91678,0.97037,0.92004,0.91944,0.90111,0.24167,0.77795,0.26584,0.78942,0,0.000905557,0.000905557,0.000905557
39,398.685,0.32952,0.83254,0.39689,0.84843,0,0.96713,0.93016,0.92377,0.91607,0.96713,0.93016,0.92377,0.91421,0.2477,0.63756,0.28459,0.79198,0,0.00089141,0.00089141,0.00089141
40,406.595,0.35668,0.84005,0.38111,0.86384,0,0.96916,0.91905,0.92474,0.91533,0.96916,0.91905,0.92474,0.9042,0.26933,0.66273,0.27264,0.80867,0,0.000877263,0.000877263,0.000877263
41,422.639,0.33044,0.71479,0.37221,0.85851,0,0.96748,0.91905,0.92589,0.91186,0.96748,0.91905,0.92589,0.90512,0.23779,0.765,0.28442,0.79538,0,0.000863116,0.000863116,0.000863116
42,429.907,0.33576,0.67523,0.38008,0.86999,0,0.97117,0.91905,0.93345,0.92786,0.97117,0.91905,0.93345,0.91456,0.23141,0.60803,0.26413,0.79297,0,0.000848969,0.000848969,0.000848969
43,443.524,0.31909,0.71302,0.34409,0.8591,0,0.95124,0.92072,0.92805,0.92082,0.95124,0.92072,0.92805,0.91163,0.24397,0.76102,0.27472,0.79442,0,0.000834822,0.000834822,0.000834822
44,453.597,0.30528,0.72424,0.34541,0.84455,0,0.97037,0.91905,0.91661,0.90799,0.97037,0.91905,0.91661,0.90401,0.25475,0.72312,0.28735,0.79757,0,0.000820675,0.000820675,0.000820675
45,464.194,0.33114,0.59715,0.36615,0.85579,0,0.97158,0.92124,0.92206,0.90527,0.97158,0.92124,0.92206,0.90544,0.25829,0.8727,0.27855,0.79892,0,0.000806528,0.000806528,0.000806528
46,477.28,0.31929,0.77504,0.33342,0.85974,0,0.97098,0.91905,0.92395,0.91405,0.97098,0.91905,0.92395,0.91162,0.23311,0.72456,0.24821,0.79094,0,0.00079238,0.00079238,0.00079238
47,485.024,0.31121,0.66479,0.33138,0.84587,0,0.94995,0.94127,0.92103,0.91673,0.94995,0.94127,0.92103,0.9037,0.23634,0.7649,0.24584,0.79582,0,0.000778233,0.000778233,0.000778233
48,500.727,0.32459,0.72505,0.35033,0.85922,0,0.9714,0.90794,0.92639,0.91763,0.9714,0.90794,0.92639,0.90903,0.25107,0.7388,0.25986,0.79372,0,0.000764086,0.000764086,0.000764086
49,508.488,0.33202,0.65412,0.36341,0.85612,0,0.96364,0.91905,0.92912,0.92089,0.96364,0.91905,0.92912,0.91736,0.22446,0.36515,0.2723,0.77671,0,0.000749939,0.000749939,0.000749939
